Hydrant,Latitude,Longitude,Capacity_L_min,Available,Capacity_source,Public_hydrant_object_id,Model_type,Location_source
H0103,55.662034,12.574439,800,True,simulated_from_model_type,103,"unset, unset",6100_Brandhaner__Koebenhavn
H0104,55.63209,12.578105,800,True,simulated_from_model_type,104,"Ikke Oplyst, unset",6100_Brandhaner__Koebenhavn
H0105,55.651862,12.612046,1600,True,simulated_from_model_type,105,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0106,55.655652,12.588315,800,True,simulated_from_model_type,106,"unset, unset",6100_Brandhaner__Koebenhavn
H0107,55.662892,12.585184,800,True,simulated_from_model_type,107,"unset, unset",6100_Brandhaner__Koebenhavn
H0108,55.660138,12.590968,1600,True,simulated_from_model_type,108,"KV, 100 mm",6100_Brandhaner__Koebenhavn
H0109,55.63759,12.582611,800,True,simulated_from_model_type,109,"unset, unset",6100_Brandhaner__Koebenhavn
H0110,55.65924,12.588425,1600,True,simulated_from_model_type,110,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0111,55.65494,12.63417,1600,True,simulated_from_model_type,111,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0112,55.631274,12.576137,1600,True,simulated_from_model_type,112,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0113,55.631345,12.577669,1600,True,simulated_from_model_type,113,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0114,55.630964,12.579638,1600,True,simulated_from_model_type,114,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0115,55.629967,12.579248,1600,True,simulated_from_model_type,115,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0116,55.649197,12.588141,1600,True,simulated_from_model_type,116,"KV, 100 mm",6100_Brandhaner__Koebenhavn
H0117,55.646335,12.58731,1600,True,simulated_from_model_type,117,"KV, 100 mm",6100_Brandhaner__Koebenhavn
H0118,55.647426,12.587555,1600,True,simulated_from_model_type,118,"KV, 100 mm",6100_Brandhaner__Koebenhavn
H0119,55.64849,12.58779,1600,True,simulated_from_model_type,119,"KV, 100 mm",6100_Brandhaner__Koebenhavn
H0120,55.663714,12.629103,1600,True,simulated_from_model_type,120,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0121,55.66344,12.610835,1600,True,simulated_from_model_type,121,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0122,55.657558,12.592005,1600,True,simulated_from_model_type,122,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0123,55.660969,12.609877,1600,True,simulated_from_model_type,123,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0124,55.639472,12.583967,1600,True,simulated_from_model_type,124,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0125,55.666253,12.605845,1600,True,simulated_from_model_type,125,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0126,55.660198,12.570393,1600,True,simulated_from_model_type,126,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0127,55.632555,12.576465,800,True,simulated_from_model_type,127,"unset, unset",6100_Brandhaner__Koebenhavn
H0129,55.667325,12.580522,2000,True,simulated_from_model_type,129,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0130,55.632444,12.574712,800,True,simulated_from_model_type,130,"unset, unset",6100_Brandhaner__Koebenhavn
H0131,55.639275,12.584844,1600,True,simulated_from_model_type,131,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0132,55.665519,12.58376,800,True,simulated_from_model_type,132,"unset, unset",6100_Brandhaner__Koebenhavn
H0133,55.660094,12.592936,800,True,simulated_from_model_type,133,"unset, unset",6100_Brandhaner__Koebenhavn
H0134,55.655592,12.625107,1600,True,simulated_from_model_type,134,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0135,55.634681,12.582809,1600,True,simulated_from_model_type,135,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0136,55.670154,12.624558,1600,True,simulated_from_model_type,136,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0137,55.666544,12.590372,800,True,simulated_from_model_type,137,"unset, unset",6100_Brandhaner__Koebenhavn
H0138,55.665818,12.588202,800,True,simulated_from_model_type,138,"unset, unset",6100_Brandhaner__Koebenhavn
H0139,55.645084,12.598033,1600,True,simulated_from_model_type,139,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0140,55.646004,12.598447,1600,True,simulated_from_model_type,140,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0141,55.645959,12.600161,1600,True,simulated_from_model_type,141,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0142,55.645908,12.601996,1600,True,simulated_from_model_type,142,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0143,55.645868,12.603566,1600,True,simulated_from_model_type,143,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0144,55.657621,12.588387,800,True,simulated_from_model_type,144,"unset, unset",6100_Brandhaner__Koebenhavn
H0145,55.658289,12.588638,800,True,simulated_from_model_type,145,"unset, unset",6100_Brandhaner__Koebenhavn
H0146,55.658152,12.59007,800,True,simulated_from_model_type,146,"unset, unset",6100_Brandhaner__Koebenhavn
H0147,55.634975,12.576582,1500,True,simulated_from_model_type,147,"A-60, 90 mm",6100_Brandhaner__Koebenhavn
H0148,55.658667,12.568645,1600,True,simulated_from_model_type,148,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0149,55.659427,12.585341,1600,True,simulated_from_model_type,149,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0150,55.630712,12.575752,800,True,simulated_from_model_type,150,"Fields\/Privat, unset",6100_Brandhaner__Koebenhavn
